Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
GLYNDE,538,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
CLARENCE GARDENS,538,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
WEST RICHMOND,525,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
GULFVIEW HEIGHTS,524,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
STIRLING,524,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
WEST HINDMARSH,523,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
SOUTH BRIGHTON,521,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
HENDON,518,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
REGENCY PARK,518,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
DIREK,515,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
FREWVILLE,510,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
SEACLIFF,510,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
KENSINGTON,508,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ETHELTON,507,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
COLLINSWOOD,501,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
KESWICK,495,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
VALE PARK,494,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
FAIRVIEW PARK,472,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
TRINITY GARDENS,469,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
HAMPSTEAD GARDENS,469,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
LINDEN PARK,463,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
GAWLER WEST,462,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES
PAYNEHAM,460,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
DAW PARK,458,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
EDEN HILLS,454,PROPERTY DAMAGE AND ENVIRONMENTAL,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY
EVANDALE,448,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
NAIRNE,447,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
TOORAK GARDENS,442,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
TONSLEY,438,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
COWANDILLA,434,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
PANORAMA,432,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
MYRTLE BANK,432,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
THORNGATE,432,THEFT AND RELATED OFFENCES,THEFT,SERIOUS CRIMINAL TRESPASS
BANKSIA PARK,425,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
SELLICKS BEACH,424,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
COLONEL LIGHT GARDENS,414,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
DUDLEY PARK,409,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
MEDINDIE,408,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
HYDE PARK,407,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
FORESTVILLE,406,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
MILLSWOOD,402,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
MAYLANDS,401,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
WESTBOURNE PARK,401,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
NEW PORT,394,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
ASHFORD,390,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
EVERARD PARK,381,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
PORT WILLUNGA,376,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
WILLUNGA,372,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SEMAPHORE SOUTH,370,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
BURNSIDE,363,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
ROSE PARK,350,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
