Suburb,G01_Population_Total,Current_Price_2025,Indian_Population,Indian_Percent,Chinese_Population,Chinese_Percent,Vietnamese_Population,Vietnamese_Percent,Italian_Population,Italian_Percent,Greek_Population,Greek_Percent,Cultural_Diversity_Index
BLAIR ATHOL,5274.0,875500.0,418.0,7.9256731133864236,221.0,4.190367842244975,261.0,4.948805460750854,97.0,1.839211224876754,82.0,1.5547971179370497,0.9889333755550407
BLAKEVIEW,8979.0,720000.0,154.0,1.7151130415413742,47.0,0.5234435906002896,22.0,0.2450161487916249,59.0,0.6570887626684485,21.0,0.23387905111927834,0.9996237896096448
BOWDEN,1808.0,957500.0,27.0,1.4933628318584071,156.0,8.628318584070795,16.0,0.8849557522123894,31.0,1.7146017699115044,17.0,0.9402654867256638,0.9918714880765918
BRADBURY,178.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAHMA LODGE,3380.0,735000.0,46.0,1.36094674556213,46.0,1.36094674556213,87.0,2.57396449704142,88.0,2.603550295857988,14.0,0.41420118343195267,0.998272031791604
BRIDGEWATER,3719.0,1060000.0,9.0,0.24200053777897285,24.0,0.6453347674105943,0.0,0.0,35.0,0.9411132024737833,5.0,0.13444474321054048,0.9998621209328838
BRIGHTON,3834.0,1399000.0,29.0,0.7563901930099113,35.0,0.9128847157016171,7.0,0.1825769431403234,67.0,1.7475221700573813,37.0,0.9650495565988524,0.9994576026650057
BROADVIEW,4450.0,1180000.0,371.0,8.337078651685394,251.0,5.640449438202247,94.0,2.1123595505617976,171.0,3.842696629213483,83.0,1.8651685393258428,0.9875971215755587
BROMPTON,3729.0,1126500.0,92.0,2.467149369804237,217.0,5.819254491820863,96.0,2.574416733708769,109.0,2.923035666398498,196.0,5.256100831322071,0.9917251096171635
BROOKLYN PARK,5040.0,1300000.0,448.0,8.88888888888889,219.0,4.345238095238095,32.0,0.6349206349206349,259.0,5.138888888888888,206.0,4.087301587301587,0.9858589222726127
BURNSIDE,3060.0,1911500.0,94.0,3.071895424836601,320.0,10.457516339869281,11.0,0.35947712418300654,84.0,2.7450980392156863,33.0,1.0784313725490196,0.9872376009227221
BURTON,6519.0,736000.0,94.0,1.4419389476913635,138.0,2.1168890934192364,413.0,6.335327504218438,86.0,1.319220739377205,34.0,0.5215523853351741,0.9951290857801735
CALLINGTON,625.0,,0.0,0.0,3.0,0.48,0.0,0.0,3.0,0.48,0.0,0.0,0.99995392
CAMDEN PARK,3338.0,1180000.0,176.0,5.272618334331936,129.0,3.8645895745955663,4.0,0.11983223487118035,67.0,2.0071899340922705,83.0,2.486518873576992,0.9947038496015704
CAMPBELLTOWN,9263.0,1165000.0,607.0,6.552952607146713,1112.0,12.00475008096729,65.0,0.7017165065313613,1049.0,11.32462485155997,118.0,1.2738853503184715,0.9682582469652141
CAREY GULLY,428.0,,0.0,0.0,10.0,2.336448598130841,0.0,0.0,8.0,1.8691588785046727,13.0,3.0373831775700935,0.9981821556467814
CHANDLERS HILL,792.0,,3.0,0.3787878787878788,0.0,0.0,0.0,0.0,10.0,1.2626262626262625,7.0,0.8838383838383838,0.9997481124375064
CHARLESTON,550.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHELTENHAM,2236.0,1027500.0,31.0,1.3864042933810377,27.0,1.2075134168157424,24.0,1.073345259391771,84.0,3.7567084078711988,53.0,2.370304114490161,0.9975736524780706
CHERRYVILLE,125.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTIE DOWNS,5239.0,716000.0,35.0,0.6680664248902463,31.0,0.591715976331361,5.0,0.09543806069860661,28.0,0.5344531399121969,21.0,0.40083985493414775,0.9998748138283793
CHRISTIES BEACH,5962.0,920000.0,29.0,0.48641395504864143,35.0,0.587051325058705,9.0,0.15095605501509562,81.0,1.3586044951358605,30.0,0.5031868500503187,0.9997296981295268
CLAPHAM,1685.0,1022000.0,29.0,1.7210682492581602,58.0,3.4421364985163203,4.0,0.2373887240356083,29.0,1.7210682492581602,23.0,1.3649851632047478,0.9980308006586305
CLARENCE GARDENS,2373.0,1290000.0,40.0,1.685630004214075,142.0,5.983986514959967,9.0,0.37926675094816686,38.0,1.6013485040033713,54.0,2.275600505689001,0.995346403891653
CLARENCE PARK,2658.0,1226000.0,52.0,1.9563581640331076,69.0,2.595936794582393,13.0,0.4890895410082769,61.0,2.2949586155003763,78.0,2.9345372460496613,0.9975316222418118
CLARENDON,643.0,1057500.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7776049766718507,0.0,0.0,0.9999395330500255
